,arrived,departed,steps,time
0,1.0,1.0,28.0,2019-12-11 10:18:35.581081
1,1.0,1.0,37.0,2019-12-11 10:18:35.939571
2,1.0,1.0,57.0,2019-12-11 10:18:36.258122
3,1.0,1.0,249.0,2019-12-11 10:18:36.793461
4,1.0,1.0,53.0,2019-12-11 10:18:37.079272
5,1.0,1.0,156.0,2019-12-11 10:18:37.611798
6,1.0,1.0,51.0,2019-12-11 10:18:38.004078
7,1.0,1.0,129.0,2019-12-11 10:18:38.406923
8,1.0,1.0,47.0,2019-12-11 10:18:38.766834
9,1.0,1.0,316.0,2019-12-11 10:18:39.240852
10,1.0,1.0,31.0,2019-12-11 10:18:39.612180
11,1.0,1.0,115.0,2019-12-11 10:18:40.134415
12,1.0,1.0,265.0,2019-12-11 10:18:40.739116
13,1.0,1.0,163.0,2019-12-11 10:18:41.107890
14,1.0,1.0,131.0,2019-12-11 10:18:41.493982
15,1.0,1.0,56.0,2019-12-11 10:18:41.918022
16,1.0,1.0,21.0,2019-12-11 10:18:42.204252
17,1.0,1.0,200.0,2019-12-11 10:18:42.733317
18,1.0,1.0,64.0,2019-12-11 10:18:43.134459
19,1.0,1.0,262.0,2019-12-11 10:18:43.698365
20,2.0,2.0,431.0,2019-12-11 10:18:44.122943
21,2.0,2.0,402.0,2019-12-11 10:18:44.704263
22,2.0,2.0,475.0,2019-12-11 10:18:45.303070
23,2.0,2.0,446.0,2019-12-11 10:18:46.339310
24,2.0,2.0,451.0,2019-12-11 10:18:46.786015
25,2.0,2.0,461.0,2019-12-11 10:18:47.559035
26,1.0,2.0,479.0,2019-12-11 10:18:48.145370
27,1.0,2.0,479.0,2019-12-11 10:18:48.748189
28,1.0,2.0,479.0,2019-12-11 10:18:49.273419
29,2.0,2.0,428.0,2019-12-11 10:18:49.835239
30,2.0,2.0,403.0,2019-12-11 10:18:50.296611
31,2.0,2.0,440.0,2019-12-11 10:18:51.013996
32,2.0,2.0,462.0,2019-12-11 10:18:51.896506
33,2.0,2.0,463.0,2019-12-11 10:18:52.427516
34,1.0,2.0,479.0,2019-12-11 10:18:52.884478
35,1.0,2.0,479.0,2019-12-11 10:18:53.419436
36,1.0,2.0,479.0,2019-12-11 10:18:53.909280
37,2.0,2.0,422.0,2019-12-11 10:18:54.441345
38,1.0,2.0,479.0,2019-12-11 10:18:55.078160
39,1.0,2.0,479.0,2019-12-11 10:18:55.779984
40,2.0,3.0,481.0,2019-12-11 10:18:56.398308
41,3.0,3.0,455.0,2019-12-11 10:18:57.243035
42,3.0,3.0,406.0,2019-12-11 10:18:58.220859
43,3.0,3.0,443.0,2019-12-11 10:18:59.129949
44,3.0,3.0,427.0,2019-12-11 10:18:59.748000
45,3.0,3.0,463.0,2019-12-11 10:19:00.631859
46,2.0,3.0,481.0,2019-12-11 10:19:01.432347
47,2.0,3.0,481.0,2019-12-11 10:19:02.224220
48,3.0,3.0,466.0,2019-12-11 10:19:03.074458
49,2.0,3.0,481.0,2019-12-11 10:19:03.637975
50,3.0,3.0,404.0,2019-12-11 10:19:04.332341
51,2.0,3.0,481.0,2019-12-11 10:19:05.254171
52,2.0,3.0,481.0,2019-12-11 10:19:06.330373
53,2.0,3.0,481.0,2019-12-11 10:19:06.978527
54,1.0,3.0,481.0,2019-12-11 10:19:08.072176
55,3.0,3.0,459.0,2019-12-11 10:19:09.399252
56,2.0,3.0,481.0,2019-12-11 10:19:10.119138
57,3.0,3.0,419.0,2019-12-11 10:19:10.848269
58,1.0,3.0,481.0,2019-12-11 10:19:11.725077
59,1.0,3.0,481.0,2019-12-11 10:19:12.917226
60,4.0,4.0,438.0,2019-12-11 10:19:13.844023
61,4.0,4.0,419.0,2019-12-11 10:19:14.860303
62,3.0,4.0,483.0,2019-12-11 10:19:15.964851
63,3.0,4.0,483.0,2019-12-11 10:19:16.874828
64,3.0,4.0,483.0,2019-12-11 10:19:17.613133
65,3.0,4.0,483.0,2019-12-11 10:19:18.802293
66,3.0,4.0,483.0,2019-12-11 10:19:19.681021
67,2.0,4.0,483.0,2019-12-11 10:19:20.819685
68,3.0,4.0,483.0,2019-12-11 10:19:21.637796
69,3.0,4.0,483.0,2019-12-11 10:19:22.492034
70,3.0,4.0,483.0,2019-12-11 10:19:23.444730
71,3.0,4.0,483.0,2019-12-11 10:19:24.748828
72,4.0,4.0,443.0,2019-12-11 10:19:25.967965
73,3.0,4.0,483.0,2019-12-11 10:19:26.710737
74,4.0,4.0,444.0,2019-12-11 10:19:27.703274
75,4.0,4.0,469.0,2019-12-11 10:19:28.664025
76,4.0,4.0,472.0,2019-12-11 10:19:29.629168
77,3.0,4.0,483.0,2019-12-11 10:19:30.561422
78,4.0,4.0,404.0,2019-12-11 10:19:31.547172
79,3.0,4.0,483.0,2019-12-11 10:19:33.029408
80,5.0,5.0,426.0,2019-12-11 10:19:34.412367
81,5.0,5.0,409.0,2019-12-11 10:19:35.994352
82,4.0,5.0,485.0,2019-12-11 10:19:36.987384
83,4.0,5.0,485.0,2019-12-11 10:19:38.257077
84,4.0,5.0,485.0,2019-12-11 10:19:39.282279
85,5.0,5.0,449.0,2019-12-11 10:19:40.529268
86,4.0,5.0,485.0,2019-12-11 10:19:41.617948
87,3.0,5.0,485.0,2019-12-11 10:19:43.558357
88,4.0,5.0,485.0,2019-12-11 10:19:46.087869
89,5.0,5.0,400.0,2019-12-11 10:19:47.338130
90,5.0,5.0,440.0,2019-12-11 10:19:49.970980
91,5.0,5.0,445.0,2019-12-11 10:19:51.603334
92,4.0,5.0,485.0,2019-12-11 10:19:54.706044
93,4.0,5.0,485.0,2019-12-11 10:19:56.654510
94,5.0,5.0,446.0,2019-12-11 10:19:58.089362
95,4.0,5.0,485.0,2019-12-11 10:19:59.512276
96,4.0,5.0,485.0,2019-12-11 10:20:00.851261
97,5.0,5.0,416.0,2019-12-11 10:20:02.041684
98,5.0,5.0,461.0,2019-12-11 10:20:03.456999
99,3.0,5.0,485.0,2019-12-11 10:20:05.044622
100,6.0,6.0,428.0,2019-12-11 10:20:07.716095
101,6.0,6.0,415.0,2019-12-11 10:20:10.533018
102,5.0,6.0,487.0,2019-12-11 10:20:12.192433
103,4.0,6.0,487.0,2019-12-11 10:20:13.691067
104,6.0,6.0,476.0,2019-12-11 10:20:15.403344
105,5.0,6.0,487.0,2019-12-11 10:20:19.629251
106,6.0,6.0,486.0,2019-12-11 10:20:21.573979
107,3.0,6.0,487.0,2019-12-11 10:20:23.647850
108,4.0,6.0,487.0,2019-12-11 10:20:25.017982
109,6.0,6.0,483.0,2019-12-11 10:20:26.109168
110,6.0,6.0,400.0,2019-12-11 10:20:27.222006
111,3.0,6.0,487.0,2019-12-11 10:20:28.940052
112,5.0,6.0,487.0,2019-12-11 10:20:30.659206
113,5.0,6.0,487.0,2019-12-11 10:20:31.839311
114,6.0,6.0,447.0,2019-12-11 10:20:33.094308
115,6.0,6.0,477.0,2019-12-11 10:20:34.423003
116,6.0,6.0,446.0,2019-12-11 10:20:35.654546
117,6.0,6.0,471.0,2019-12-11 10:20:36.934130
118,6.0,6.0,457.0,2019-12-11 10:20:38.287924
119,4.0,6.0,487.0,2019-12-11 10:20:39.956869
120,7.0,7.0,444.0,2019-12-11 10:20:41.675461
121,7.0,7.0,431.0,2019-12-11 10:20:43.155186
122,6.0,7.0,489.0,2019-12-11 10:20:44.489322
123,7.0,7.0,478.0,2019-12-11 10:20:45.967531
124,6.0,7.0,489.0,2019-12-11 10:20:47.256120
125,7.0,7.0,470.0,2019-12-11 10:20:48.794625
126,7.0,7.0,453.0,2019-12-11 10:20:50.256341
127,6.0,7.0,489.0,2019-12-11 10:20:51.799540
128,5.0,7.0,489.0,2019-12-11 10:20:53.311025
129,7.0,7.0,466.0,2019-12-11 10:20:54.526281
130,7.0,7.0,408.0,2019-12-11 10:20:56.146452
131,3.0,7.0,489.0,2019-12-11 10:20:58.419709
132,3.0,7.0,489.0,2019-12-11 10:21:00.349642
133,4.0,7.0,489.0,2019-12-11 10:21:01.655226
134,6.0,7.0,489.0,2019-12-11 10:21:03.059013
135,7.0,7.0,464.0,2019-12-11 10:21:04.584656
136,6.0,7.0,489.0,2019-12-11 10:21:05.925342
137,2.0,7.0,489.0,2019-12-11 10:21:08.723823
138,6.0,7.0,489.0,2019-12-11 10:21:10.063410
139,5.0,7.0,489.0,2019-12-11 10:21:11.790842
140,8.0,8.0,437.0,2019-12-11 10:21:13.383269
141,8.0,8.0,425.0,2019-12-11 10:21:14.765824
142,7.0,8.0,491.0,2019-12-11 10:21:16.155379
143,6.0,8.0,491.0,2019-12-11 10:21:17.794855
144,6.0,8.0,491.0,2019-12-11 10:21:19.532808
145,8.0,8.0,442.0,2019-12-11 10:21:21.322230
146,8.0,8.0,446.0,2019-12-11 10:21:23.060675
147,5.0,8.0,491.0,2019-12-11 10:21:25.561931
148,6.0,8.0,491.0,2019-12-11 10:21:27.717828
149,8.0,8.0,487.0,2019-12-11 10:21:31.449618
150,8.0,8.0,433.0,2019-12-11 10:21:34.702476
151,7.0,8.0,491.0,2019-12-11 10:21:38.281631
152,5.0,8.0,491.0,2019-12-11 10:21:40.946778
153,6.0,8.0,491.0,2019-12-11 10:21:42.896233
154,7.0,8.0,491.0,2019-12-11 10:21:46.018350
155,8.0,8.0,467.0,2019-12-11 10:21:48.336198
156,8.0,8.0,471.0,2019-12-11 10:21:50.423982
157,7.0,8.0,491.0,2019-12-11 10:21:52.775977
158,5.0,8.0,491.0,2019-12-11 10:21:54.624492
159,5.0,8.0,491.0,2019-12-11 10:21:57.666526
160,8.0,9.0,493.0,2019-12-11 10:21:59.808840
161,9.0,9.0,437.0,2019-12-11 10:22:01.619263
162,8.0,9.0,493.0,2019-12-11 10:22:03.539652
163,6.0,9.0,493.0,2019-12-11 10:22:05.428393
164,7.0,9.0,493.0,2019-12-11 10:22:07.092404
165,9.0,9.0,460.0,2019-12-11 10:22:09.051777
166,7.0,9.0,493.0,2019-12-11 10:22:10.923169
167,4.0,9.0,493.0,2019-12-11 10:22:14.274203
168,8.0,9.0,493.0,2019-12-11 10:22:16.427514
169,7.0,9.0,493.0,2019-12-11 10:22:18.507849
170,9.0,9.0,449.0,2019-12-11 10:22:20.890716
171,8.0,9.0,493.0,2019-12-11 10:22:23.430462
172,7.0,9.0,493.0,2019-12-11 10:22:25.798705
173,8.0,9.0,493.0,2019-12-11 10:22:27.463172
174,9.0,9.0,470.0,2019-12-11 10:22:29.524729
175,8.0,9.0,493.0,2019-12-11 10:22:32.285382
176,9.0,9.0,474.0,2019-12-11 10:22:34.055316
177,7.0,9.0,493.0,2019-12-11 10:22:36.028685
178,8.0,9.0,493.0,2019-12-11 10:22:37.609179
179,7.0,9.0,493.0,2019-12-11 10:22:39.673536
180,10.0,10.0,482.0,2019-12-11 10:22:41.696882
181,10.0,10.0,466.0,2019-12-11 10:22:43.635814
182,9.0,10.0,495.0,2019-12-11 10:22:45.477779
183,7.0,10.0,495.0,2019-12-11 10:22:47.479948
184,9.0,10.0,495.0,2019-12-11 10:22:49.354426
185,9.0,10.0,495.0,2019-12-11 10:22:51.690814
186,10.0,10.0,449.0,2019-12-11 10:22:53.701725
187,8.0,10.0,495.0,2019-12-11 10:22:55.969261
188,9.0,10.0,495.0,2019-12-11 10:22:57.799747
189,9.0,10.0,495.0,2019-12-11 10:22:59.402007
190,9.0,10.0,495.0,2019-12-11 10:23:01.250566
191,6.0,10.0,495.0,2019-12-11 10:23:03.967499
192,7.0,10.0,495.0,2019-12-11 10:23:06.536240
193,7.0,10.0,495.0,2019-12-11 10:23:08.462951
194,10.0,10.0,469.0,2019-12-11 10:23:10.259728
195,9.0,10.0,495.0,2019-12-11 10:23:12.349988
196,9.0,10.0,495.0,2019-12-11 10:23:14.049447
197,8.0,10.0,495.0,2019-12-11 10:23:16.011815
198,10.0,10.0,455.0,2019-12-11 10:23:17.801242
199,9.0,10.0,495.0,2019-12-11 10:23:19.969796
200,4.0,11.0,497.0,2019-12-11 10:23:21.937574
201,11.0,11.0,497.0,2019-12-11 10:23:23.965674
202,10.0,11.0,497.0,2019-12-11 10:23:26.144646
203,9.0,11.0,497.0,2019-12-11 10:23:28.129315
204,7.0,11.0,497.0,2019-12-11 10:23:30.245638
205,9.0,11.0,497.0,2019-12-11 10:23:32.733842
206,11.0,11.0,481.0,2019-12-11 10:23:34.874460
207,5.0,11.0,497.0,2019-12-11 10:23:38.540344
208,9.0,11.0,497.0,2019-12-11 10:23:40.590573
209,10.0,11.0,497.0,2019-12-11 10:23:42.323976
210,9.0,11.0,497.0,2019-12-11 10:23:45.103747
211,7.0,11.0,497.0,2019-12-11 10:23:48.092117
212,8.0,11.0,497.0,2019-12-11 10:23:51.068766
213,8.0,11.0,497.0,2019-12-11 10:23:53.296744
214,8.0,11.0,497.0,2019-12-11 10:23:55.351089
215,7.0,11.0,497.0,2019-12-11 10:23:58.508094
216,10.0,11.0,497.0,2019-12-11 10:24:00.563946
217,6.0,11.0,497.0,2019-12-11 10:24:03.438901
218,10.0,11.0,497.0,2019-12-11 10:24:05.522234
219,8.0,11.0,497.0,2019-12-11 10:24:08.351328
220,10.0,12.0,499.0,2019-12-11 10:24:10.836086
221,12.0,12.0,435.0,2019-12-11 10:24:12.709486
222,4.0,12.0,499.0,2019-12-11 10:24:16.399315
223,8.0,12.0,499.0,2019-12-11 10:24:18.829537
224,9.0,12.0,499.0,2019-12-11 10:24:20.914644
225,10.0,12.0,499.0,2019-12-11 10:24:23.387964
226,11.0,12.0,499.0,2019-12-11 10:24:25.593259
227,7.0,12.0,499.0,2019-12-11 10:24:28.585301
228,7.0,12.0,499.0,2019-12-11 10:24:31.429586
229,12.0,12.0,417.0,2019-12-11 10:24:33.039876
230,11.0,12.0,499.0,2019-12-11 10:24:35.206461
231,7.0,12.0,499.0,2019-12-11 10:24:38.672352
232,10.0,12.0,499.0,2019-12-11 10:24:41.360491
233,9.0,12.0,499.0,2019-12-11 10:24:43.852487
234,9.0,12.0,499.0,2019-12-11 10:24:46.252138
235,9.0,12.0,499.0,2019-12-11 10:24:48.824315
236,10.0,12.0,499.0,2019-12-11 10:24:50.893221
237,8.0,12.0,499.0,2019-12-11 10:24:53.512590
238,10.0,12.0,499.0,2019-12-11 10:24:55.702439
239,9.0,12.0,499.0,2019-12-11 10:24:58.339595
240,11.0,13.0,501.0,2019-12-11 10:25:00.841795
241,13.0,13.0,438.0,2019-12-11 10:25:03.089916
242,13.0,13.0,484.0,2019-12-11 10:25:05.718597
243,11.0,13.0,501.0,2019-12-11 10:25:08.176811
244,13.0,13.0,444.0,2019-12-11 10:25:10.176502
245,8.0,13.0,501.0,2019-12-11 10:25:13.236201
246,12.0,13.0,501.0,2019-12-11 10:25:15.469389
247,7.0,13.0,501.0,2019-12-11 10:25:18.604484
248,8.0,13.0,501.0,2019-12-11 10:25:21.285177
249,12.0,13.0,501.0,2019-12-11 10:25:23.126948
250,12.0,13.0,501.0,2019-12-11 10:25:25.877328
251,7.0,13.0,501.0,2019-12-11 10:25:29.420968
252,11.0,13.0,501.0,2019-12-11 10:25:32.754751
253,9.0,13.0,501.0,2019-12-11 10:25:34.827521
254,10.0,13.0,501.0,2019-12-11 10:25:37.548245
255,10.0,13.0,501.0,2019-12-11 10:25:40.253904
256,10.0,13.0,501.0,2019-12-11 10:25:42.811060
257,5.0,13.0,501.0,2019-12-11 10:25:46.444810
258,13.0,13.0,494.0,2019-12-11 10:25:48.671975
259,11.0,13.0,501.0,2019-12-11 10:25:51.250703
